// n = 100, k = 50, seed = 9527, # of sigma = 20, # of algorithms = 3
BCH5 SpecOrth logarithm	Newton Algorithm	Hybrid Algorithm
100	50	9527	20	3
0.1	0.2789473684210526	0.45789473684210524	0.6368421052631579	0.8157894736842105	0.9947368421052631	1.1736842105263159	1.3526315789473684	1.5315789473684212	1.7105263157894737	1.8894736842105264	2.068421052631579	2.2473684210526317	2.4263157894736844	2.6052631578947367	2.7842105263157895	2.963157894736842	3.142105263157895	3.3210526315789473	3.5

BCH5 SpecOrth logarithm
8587569	8744323	8867535	8968168	14963663	15102343	15294902	15443688	15689198	21849180	22121402	22627351	29395259	31185747	53927549	117809390	163797675	143569405	187791406	184618215
8713173	8893365	8983100	9063076	15409457	15386150	15451987	15521891	21976235	22171777	22350547	23083161	30148110	44302157	158829078	101694404	247441138	147964507	251994172	131658167
8699882	8877263	8929195	9016341	15069924	15251518	15421158	15560312	15806136	22013444	22477956	22839027	29750045	31775678	54429537	93637008	215328214	206299424	146419771	515179627

Hybrid Algorithm
5796642	5914548	9094042	9122396	9190070	12412566	12421390	12364677	15605956	19203790	22642193	29186863	30103704	37863931	82182556	68144342	67774781	67028407	86792746	54277329
5812155	5916769	9203762	9182652	9269953	12401771	12607031	12627940	15873074	19070971	22490254	29346020	29855456	37777580	68458332	70717196	69294093	97268227	133616388	82703872
5801104	5857943	9152316	9216999	9169590	12189478	12292710	12398654	15599749	18802387	22100472	28894586	29238432	41807992	54296979	104839473	64271269	113549731	109475995	81478896
5982485	5974996	9291361	9209405	9216751	12393583	12314970	12321303	15579663	18661200	21930290	28995599	29201486	29452014	46236065	76599509	116291671	164260879	77619564	65275190
5840335	5971782	9259637	9191137	9167427	12292631	12391946	12456128	15755858	19079019	22404319	29177962	29503807	37096661	74209122	79039411	215105839	77383843	143200452	70513778
5942399	5924966	9212188	9235772	9327818	12554060	12564838	12564265	15873259	19396854	22634106	29304136	29769735	37445677	67319056	55957022	82946814	85526639	67491088	72190591
5815092	5805931	8985514	9087404	9191095	12387296	12396608	15534916	15611210	18856373	28922594	29114008	29802359	45262331	53832297	102388250	55423525	150625258	59538190	55634564
5998868	6018045	9250674	9233673	9338389	12533574	12726411	12683168	16034186	19421932	22914182	29462941	30043834	37253433	140044270	51722866	56419020	101079542	76547216	65917808
6010829	6106409	9392181	9382681	9327411	12489718	12433017	12429819	15725658	18911073	22409178	28560980	29321720	36441260	3015939053	37104077	80708320	79948541	322045137	54976254
5946501	6073622	9438013	9591735	9624151	12950170	13009757	16304055	16348055	19730790	23176406	29751339	30197687	38438587	66580207	69244939	68536389	141383353	63076753	65724796
5935573	5842175	9133306	9221155	9317209	12548187	12506060	15854042	15840450	19102642	23072439	29393475	29685665	37543261	72257132	102084970	72204735	79160076	99033877	89407122
6027192	6058842	9404090	9424240	9490415	12605883	12560361	12948872	16190184	19351886	22995842	29838411	29934863	42980985	57094924	66898800	79712685	79916277	1339655143	174728535
6085222	6140585	9445214	9417027	9423613	12736631	12689419	12722573	16002679	19301474	22738896	29270949	29896247	42817489	178813029	73946925	56136564	86281856	75191205	353238547
